year,state,number of households,number interviewed,Food insecurity,margin of error - fi,very low food security,margin of error - vlfs
2004-2006,IN,2480000,2453,10.8,1.44,4.0,0.57
2004-2006,KS,1098000,2303,12.5,0.80,4.5,0.34
2004-2006,KY,1690000,2064,13.6,1.66,4.6,0.66
2004-2006,LA,1585000,1251,14.4,1.41,5.0,1.24
2004-2006,MA,2492000,2246,8.1,0.83,3.0,0.47
2004-2006,MD,2125000,3119,9.5,1.13,3.9,0.45
2004-2006,ME,545000,2945,12.9,1.04,5.3,0.79
2004-2006,MI,3985000,3529,12.2,1.19,4.6,0.80
2004-2006,MN,2043000,3415,8.2,0.94,3.2,0.48
2004-2006,MO,2383000,2598,12.3,1.12,4.4,0.46
2004-2006,MS,1103000,1312,18.1,1.87,6.4,0.80
2004-2006,MT,412000,1697,9.9,1.44,4.3,0.59
2004-2006,NC,3426000,2939,12.9,1.24,4.4,0.64
2004-2006,ND,262000,2048,6.4,0.94,2.2,0.53
2004-2006,NE,709000,2323,9.5,1.68,3.8,0.71
2004-2006,NH,509000,2889,7.4,0.94,2.2,0.38
2004-2006,NJ,3172000,2660,7.7,0.87,2.1,0.41
2004-2006,NM,770000,1453,16.1,2.00,5.8,1.16
2004-2006,NV,923000,2232,8.8,0.66,3.2,0.41
2004-2006,NY,7468000,5726,9.8,0.47,3.2,0.26
2004-2006,OH,4617000,4180,12.7,0.89,4.1,0.40
2004-2006,OK,1401000,1884,14.6,1.36,5.3,0.68
2004-2006,OR,1434000,1997,11.9,1.32,4.4,0.82
2004-2006,PA,4916000,4604,10.0,0.78,3.3,0.33
2004-2006,RI,429000,2407,11.3,1.26,3.7,0.65
2004-2006,SC,1703000,1991,14.7,1.58,5.9,0.69
2004-2006,SD,324000,2392,9.5,0.69,3.3,0.51
2004-2006,TN,2418000,1967,12.5,1.72,4.3,0.83
2004-2006,TX,8371000,6567,15.9,0.50,5.3,0.30
2004-2006,UT,806000,1629,14.5,1.69,5.1,1.65
2004-2006,VA,2827000,2939,7.9,0.86,2.8,0.49
2004-2006,VT,261000,2116,9.6,1.29,4.3,0.88
2004-2006,WA,2492000,2523,10.3,1.51,3.6,0.80
2004-2006,WI,2253000,2925,8.9,0.99,2.7,0.44
2004-2006,WV,733000,1808,9.3,0.68,3.2,0.77
2004-2006,WY,209000,2032,10.6,0.98,3.7,0.87
2007-2009,U.S.,117613000,123300,13.5,0.28,5.2,0.13
2007-2009,AK,249000,1619,12.9,1.60,4.6,1.27
2007-2009,AL,1860000,1415,15.0,2.08,6.8,1.22
2007-2009,AR,1149000,1463,17.7,2.83,6.4,1.40
2007-2009,AZ,2579000,1480,14.5,1.66,5.3,0.93
2007-2009,CA,12994000,9186,14.1,0.65,5.1,0.43
2007-2009,CO,1987000,2739,12.2,1.11,5.2,0.60
2007-2009,CT,1370000,2647,11.4,1.02,4.6,0.67
2007-2009,DC,289000,1955,12.9,1.87,4.5,0.86
2007-2009,DE,341000,1832,9.5,1.23,3.7,0.83
2007-2009,FL,7492000,4873,14.2,0.82,6.1,0.47
2007-2009,GA,3750000,2652,15.6,1.47,5.9,0.83
2007-2009,HI,442000,1743,11.4,1.32,3.9,0.91
2007-2009,IA,1240000,2448,11.5,1.00,5.0,0.92
2007-2009,ID,561000,1381,11.6,1.31,4.5,0.91
2007-2009,IL,4925000,3708,12.2,1.08,4.4,0.57
2007-2009,IN,2467000,1992,12.3,1.75,4.8,0.79
2007-2009,KS,1155000,1917,14.2,0.83,4.8,0.93
2007-2009,KY,1688000,1874,13.4,1.87,5.0,1.05
2007-2009,LA,1716000,1237,10.0,1.42,3.3,1.00
2007-2009,MA,2536000,1869,10.0,1.40,4.3,1.10
2007-2009,MD,2182000,2813,11.1,1.45,4.3,0.79
2007-2009,ME,542000,2616,14.8,1.53,6.7,1.04
2007-2009,MI,3910000,2948,13.4,1.40,5.0,0.82
2007-2009,MN,2119000,3130,10.5,1.02,4.1,0.55
2007-2009,MO,2441000,2153,15.0,1.74,6.4,1.10
2007-2009,MS,1142000,1212,17.1,1.69,6.5,1.02
2007-2009,MT,419000,1399,12.4,1.31,5.0,0.76
2007-2009,NC,3671000,2682,14.8,1.23,5.0,0.66
2007-2009,ND,273000,1775,6.7,1.15,2.6,0.52
2007-2009,NE,707000,1933,12.2,1.93,4.8,1.20
2007-2009,NH,524000,2711,8.9,1.12,3.9,0.80
2007-2009,NJ,3129000,2350,11.5,1.11,4.0,0.96
2007-2009,NM,767000,1086,14.7,2.16,4.7,1.57
2007-2009,NV,996000,1882,12.8,2.22,4.9,1.41
2007-2009,NY,7592000,4910,12.4,0.96,4.6,0.49
2007-2009,OH,4589000,3508,14.8,1.85,6.1,0.83
2007-2009,OK,1441000,1570,15.2,1.80,6.5,1.30
2007-2009,OR,1514000,1772,13.9,1.46,6.6,1.02
2007-2009,PA,4988000,3756,11.8,1.00,4.4,0.61
2007-2009,RI,424000,2127,13.7,1.20,5.4,0.70
2007-2009,SC,1798000,1859,13.5,1.80,5.0,0.76
2007-2009,SD,328000,2041,11.2,1.46,4.8,0.83
2007-2009,TN,2513000,1704,15.1,1.86,5.3,0.99
2007-2009,TX,8808000,5787,17.4,0.93,6.4,0.41
2007-2009,UT,887000,1247,11.8,2.08,4.9,1.10
2007-2009,VA,2977000,2515,9.2,1.20,3.6,0.76
2007-2009,VT,260000,1889,13.6,1.60,6.2,1.10
2007-2009,WA,2624000,2137,14.0,1.59,5.8,1.14
2007-2009,WI,2308000,2514,11.4,1.15,4.4,0.85
2007-2009,WV,727000,1473,13.4,2.27,5.3,1.09
2007-2009,WY,222000,1771,9.8,1.78,3.6,0.87
2010-2012,U.S.,119929000,132018,14.7,0.24,5.6,0.14
2010-2012,AK,263000,1637,12.1,2.13,4.4,1.04
2010-2012,AL,1840000,1493,17.9,2.62,6.8,1.55
2010-2012,AR,1197000,1531,19.7,2.45,8.1,1.27
2010-2012,AZ,2610000,1618,14.9,2.36,6.4,1.23
2010-2012,CA,13113000,9916,15.6,0.74,5.7,0.47
2010-2012,CO,2048000,2859,14.1,1.41,5.8,1.01
2010-2012,CT,1361000,2766,13.4,1.37,4.9,0.83
2010-2012,DC,299000,2120,12.0,1.63,4.5,0.91
2010-2012,DE,351000,1990,11.6,1.57,4.9,0.90
2010-2012,FL,7759000,5011,14.8,1.07,5.7,0.64
2010-2012,GA,3809000,2664,16.9,1.45,6.5,0.93
2010-2012,HI,455000,1818,14.0,1.85,5.6,1.10
2010-2012,IA,1231000,2565,12.6,1.58,4.8,0.55
2010-2012,ID,587000,1555,14.3,1.72,5.3,1.00
2010-2012,IL,4972000,4164,13.0,0.94,4.5,0.52
2010-2012,IN,2588000,2137,13.5,2.10,6.3,1.07
2010-2012,KS,1161000,2129,14.4,1.54,5.5,0.98
2010-2012,KY,1824000,2146,15.6,2.28,6.2,1.34
2010-2012,LA,1818000,1378,15.7,2.20,4.8,1.26
2010-2012,MA,2563000,2019,11.4,1.66,4.2,0.99
2010-2012,MD,2231000,2912,13.0,1.26,5.1,0.80
2010-2012,ME,547000,2571,14.9,1.53,7.1,0.98
2010-2012,MI,3863000,3176,13.4,1.31,5.3,0.73
2010-2012,MN,2154000,3377,10.6,1.20,4.8,0.80
2010-2012,MO,2416000,2168,16.7,1.61,7.6,0.99
2010-2012,MS,1110000,1308,20.9,2.30,6.9,1.36
2010-2012,MT,424000,1452,14.1,2.16,5.6,1.27
2010-2012,NC,3752000,2807,17.0,1.73,5.5,0.82
2010-2012,ND,283000,1830,8.7,1.92,3.4,0.83
2010-2012,NE,741000,2006,13.4,1.84,5.0,0.91
2010-2012,NH,517000,2831,9.9,1.24,4.3,0.73
2010-2012,NJ,3250000,2458,12.1,1.31,4.6,0.72
2010-2012,NM,810000,979,15.2,2.20,5.9,1.55
2010-2012,NV,1019000,1903,16.6,1.69,6.7,1.05
2010-2012,NY,7636000,5373,13.2,0.94,5.0,0.61
2010-2012,OH,4600000,3742,16.1,1.19,7.1,0.76
2010-2012,OK,1511000,1602,15.3,1.99,6.6,1.06
2010-2012,OR,1502000,2018,13.6,1.29,5.8,1.03
2010-2012,PA,5122000,3968,12.3,1.05,4.8,0.66
2010-2012,RI,432000,2337,15.4,1.52,5.5,0.97
2010-2012,SC,1847000,1928,15.4,1.52,5.2,0.67
2010-2012,SD,334000,2217,12.9,1.59,4.9,0.85
2010-2012,TN,2568000,1956,16.2,1.84,6.9,1.32
2010-2012,TX,9220000,6665,18.4,1.28,6.2,0.60
2010-2012,UT,958000,1438,14.8,1.85,4.8,1.14
2010-2012,VA,3024000,2834,9.2,1.59,3.2,0.73
2010-2012,VT,264000,2048,12.7,1.48,5.6,1.00
2010-2012,WA,2625000,2427,14.6,1.55,6.1,0.93
2010-2012,WI,2325000,2843,11.2,1.45,4.7,0.70
2010-2012,WV,766000,1596,14.2,1.66,4.9,1.13
2010-2012,WY,233000,1732,13.8,2.02,5.1,1.00
2013-2015,U.S.,123929000,125002,13.7,0.19,5.4,0.13
2013-2015,AK,268000,1433,13.3,1.42,4.4,0.81
2013-2015,AL,1969000,2077,17.6,1.85,7.3,1.29
2013-2015,AR,1166000,2015,19.2,1.66,7.4,1.11
2013-2015,AZ,2631000,1709,14.9,1.74,6.0,0.99
2013-2015,CA,13682000,9605,12.6,0.63,4.5,0.37
2013-2015,CO,2218000,2008,12.1,1.53,5.1,0.99
2013-2015,CT,1402000,1835,13.1,1.60,6.3,1.24
2013-2015,DC,321000,2379,13.2,1.20,4.8,0.86
2013-2015,DE,382000,1695,11.9,1.52,3.2,0.85
2013-2015,FL,8092000,5039,12.7,0.85,5.4,0.58
2013-2015,GA,3987000,2831,14.9,1.36,5.6,0.85
2013-2015,HI,465000,1681,9.7,1.46,3.0,0.73
2013-2015,IA,1265000,1812,10.6,1.33,4.5,0.87
2013-2015,ID,627000,1625,13.8,1.58,5.1,1.01
2013-2015,IL,4994000,3721,11.1,1.00,4.3,0.62
2013-2015,IN,2630000,2065,14.8,1.65,6.1,1.05
2013-2015,KS,1172000,1800,14.6,1.52,5.5,0.93
2013-2015,KY,1820000,1832,17.6,2.36,7.3,1.46
2013-2015,LA,1802000,2296,18.4,1.80,7.7,1.27
2013-2015,MA,2747000,2160,9.7,1.22,4.5,0.90
2013-2015,MD,2304000,2242,10.7,1.22,3.8,0.75
2013-2015,ME,565000,1719,15.8,2.07,7.4,1.89
2013-2015,MI,3976000,2873,14.9,1.54,6.4,1.00
2013-2015,MN,2186000,2334,9.9,1.21,3.8,0.66
2013-2015,MO,2425000,1955,15.2,1.63,6.7,1.05
2013-2015,MS,1138000,1982,20.8,1.89,7.9,1.30
2013-2015,MT,439000,2166,12.2,1.46,5.6,1.01
2013-2015,NC,3942000,2779,15.9,1.34,6.2,0.93
2013-2015,ND,318000,1815,8.5,1.46,2.9,0.84
2013-2015,NE,756000,1654,14.8,1.94,5.6,1.32
2013-2015,NH,529000,2190,10.1,1.24,4.3,0.83
2013-2015,NJ,3324000,2366,11.1,1.36,4.7,0.83
2013-2015,NM,809000,1749,14.4,1.66,5.7,1.01
2013-2015,NV,1137000,1826,14.2,1.35,5.6,0.94
2013-2015,NY,7734000,4842,14.1,0.88,4.9,0.56
2013-2015,OH,4743000,3528,16.1,1.19,6.6,0.82
2013-2015,OK,1514000,1772,15.5,1.63,6.4,0.99
2013-2015,OR,1568000,1855,16.1,1.52,6.6,1.24
2013-2015,PA,5125000,3584,12.4,1.24,4.8,0.63
2013-2015,RI,430000,1516,11.8,1.62,5.0,1.08
2013-2015,SC,1968000,1953,13.2,1.26,4.6,0.81
2013-2015,SD,351000,1675,11.5,2.11,4.5,1.12
2013-2015,TN,2657000,2156,15.1,1.35,6.0,0.76
2013-2015,TX,9809000,6271,15.4,0.88,6.0,0.54
2013-2015,UT,945000,1432,11.9,1.41,4.5,0.94
2013-2015,VA,3205000,2497,9.8,1.19,4.3,0.73
2013-2015,VT,261000,1962,11.4,1.32,5.1,0.98
2013-2015,WA,2764000,2228,12.9,1.45,4.8,0.78
2013-2015,WI,2370000,2420,11.3,1.33,4.7,1.03
2013-2015,WV,763000,2225,15.0,1.50,6.2,0.91
2013-2015,WY,238000,1818,13.2,1.65,5.3,0.88
2016-2018,U.S.,127639000,115576,11.7,0.20,4.6,0.14
2016-2018,AK,267000,1351,10.8,1.72,4.3,1.00
2016-2018,AL,1977000,2199,14.7,1.86,6.8,1.34
2016-2018,AR,1235000,2012,15.1,2.14,6.1,1.31
2016-2018,AZ,2699000,1906,12.4,1.37,5.1,0.99
2016-2018,CA,14011000,9015,10.6,0.70,3.9,0.41
2016-2018,CO,2377000,1269,9.1,1.43,3.6,1.10
2016-2018,CT,1426000,1045,12.4,2.13,4.2,1.35
2016-2018,DC,321000,2496,10.6,1.19,4.5,0.93
2016-2018,DE,377000,1238,10.5,1.87,4.5,1.20
2016-2018,FL,8679000,4822,11.7,0.92,4.2,0.62
2016-2018,GA,4023000,2693,11.3,1.62,3.8,0.77
2016-2018,HI,488000,1469,8.0,1.43,3.2,0.79
2016-2018,IA,1323000,1451,9.2,1.47,3.9,1.10
2016-2018,ID,639000,1904,9.8,1.58,3.3,0.78
2016-2018,IL,4995000,3275,10.7,1.07,4.4,0.68
2016-2018,IN,2708000,1843,13.5,1.57,4.8,0.98
2016-2018,KS,1160000,1576,13.8,2.39,6.2,1.58
2016-2018,KY,1763000,1549,14.7,1.82,5.7,1.37
2016-2018,LA,1859000,2697,15.8,1.29,6.8,0.94
2016-2018,MA,2776000,2317,9.3,1.24,3.2,0.64
2016-2018,MD,2322000,1367,11.1,1.85,5.2,1.36
2016-2018,ME,568000,1173,13.6,2.47,5.9,1.45
2016-2018,MI,4080000,2556,12.9,1.53,5.3,1.02
2016-2018,MN,2247000,1565,8.6,2.05,3.3,1.02
2016-2018,MO,2494000,1807,12.0,1.96,4.4,1.05
2016-2018,MS,1180000,2475,15.9,1.79,6.3,1.11
2016-2018,MT,449000,2394,10.3,1.34,3.9,0.81
2016-2018,NC,4203000,2575,13.9,1.46,5.5,1.05
2016-2018,ND,319000,1852,8.8,1.25,3.6,0.82
2016-2018,NE,775000,1404,11.4,1.33,4.7,1.21
2016-2018,NH,537000,1622,7.8,1.55,2.8,0.84
2016-2018,NJ,3411000,2142,8.5,1.26,3.1,0.69
2016-2018,NM,836000,2209,16.8,1.84,5.8,1.01
2016-2018,NV,1131000,1433,12.9,1.82,5.4,1.27
2016-2018,NY,7870000,4421,10.5,0.95,3.8,0.53
2016-2018,OH,4728000,3230,13.2,1.14,5.8,0.84
2016-2018,OK,1539000,1696,15.6,2.08,6.1,1.29
2016-2018,OR,1691000,1740,11.1,1.62,4.8,1.16
2016-2018,PA,5283000,3036,11.1,1.28,4.2,0.74
2016-2018,RI,434000,1089,11.0,2.01,4.7,1.32
2016-2018,SC,2099000,1823,11.0,2.18,4.0,1.00
2016-2018,SD,352000,1449,10.9,1.80,4.8,1.23
2016-2018,TN,2709000,2357,12.4,1.46,5.2,0.75
2016-2018,TX,10384000,6053,14.0,1.05,5.4,0.71
2016-2018,UT,1041000,1663,9.8,2.30,3.2,1.57
2016-2018,VA,3260000,2178,10.1,1.43,4.8,0.96
2016-2018,VT,264000,1704,9.6,1.38,3.3,0.81
2016-2018,WA,2960000,2210,10.3,1.29,4.0,0.87
2016-2018,WI,2377000,1875,8.9,1.15,3.4,0.73
2016-2018,WV,758000,2567,15.7,2.27,5.9,1.01
2016-2018,WY,234000,1784,12.6,1.44,5.0,1.07
